library,run,run.lib,sample,seq.notes,Sequenced,SBS,ExK,AUST
GES17_SBS_SB195_3,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB195_3,IW_S18697,,Y,Y,,
GES17_SBS_SB195_4,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB195_4,IW_S18799,,Y,Y,,
GES17_SBS_SB195_5,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB195_5,IW_S18712,,Y,Y,,
GES17_SBS_SB195_6,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB195_6,IW_S18697,,Y,Y,,
GES17_SBS_SB195_7,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB195_7,IW_S18799,,Y,Y,,
GES17_SBS_SB195_8,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB195_8,IW_S18712,,Y,Y,,
GES17_SBS_SB195_9,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB195_9,IW_S18697,,Y,Y,,
GES17_SBS_SB196_1,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB196_1,IW_S18695,,Y,Y,,
GES17_SBS_SB196_2,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB196_2,IW_S18710,,Y,Y,,
GES17_SBS_SB196_3,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB196_3,IW_S18813,,Y,Y,,
GES17_SBS_SB196_4,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB196_4,IW_S18695,,Y,Y,,
GES17_SBS_SB196_5,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB196_5,IW_S18710,,Y,Y,,
GES17_SBS_SB196_6,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB196_6,IW_S18813,,Y,Y,,
GES17_SBS_SB196_7,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB196_7,IW_S18695,,Y,Y,,
GES17_SBS_SB196_8,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB196_8,IW_S18710,,Y,Y,,
GES17_SBS_SB196_9,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB196_9,IW_S18813,,Y,Y,,
Kukri_1,WGS_NovaSeq,WGS_NovaSeq~Kukri_1,IW_A0380_1,,Y,,Y,
Kukri_2,WGS_NovaSeq,WGS_NovaSeq~Kukri_2,IW_A0380_2,,Y,,Y,
Kukri_3,WGS_NovaSeq,WGS_NovaSeq~Kukri_3,IW_A0380_3,,Y,,Y,
Kukri_4,WGS_NovaSeq,WGS_NovaSeq~Kukri_4,IW_A0380_4,,Y,,Y,
Kukri_5,WGS_NovaSeq,WGS_NovaSeq~Kukri_5,IW_A0380_5,,Y,,Y,
Water_Control_1_1,WGS_NovaSeq,WGS_NovaSeq~Water_Control_1_1,Z000,,,,,
Water_Control_1_2,WGS_NovaSeq,WGS_NovaSeq~Water_Control_1_2,Z000,,,,,
Water_Control_2_1,WGS_NovaSeq,WGS_NovaSeq~Water_Control_2_1,Z000,,,,,
Water_Control_2_2,WGS_NovaSeq,WGS_NovaSeq~Water_Control_2_2,Z000,,,,,
Water_Control_3_1,WGS_NovaSeq,WGS_NovaSeq~Water_Control_3_1,Z000,,,,,
Water_Control_3_2,WGS_NovaSeq,WGS_NovaSeq~Water_Control_3_2,Z000,,,,,
Excalibur_1,WGS_NovaSeq,WGS_NovaSeq~Excalibur_1,IW_A0379,,Y,,Y,
Excalibur_2,WGS_NovaSeq,WGS_NovaSeq~Excalibur_2,IW_A0379,,Y,,Y,
Excalibur_3,WGS_NovaSeq,WGS_NovaSeq~Excalibur_3,IW_A0379,,Y,,Y,
Excalibur_4,WGS_NovaSeq,WGS_NovaSeq~Excalibur_4,IW_A0379,,Y,,Y,
Excalibur_5,WGS_NovaSeq,WGS_NovaSeq~Excalibur_5,IW_A0379,,Y,,Y,
Kukri_1,WGS_NovaSeq,WGS_NovaSeq~Kukri_1,IW_A0380,,Y,,Y,
Kukri_2,WGS_NovaSeq,WGS_NovaSeq~Kukri_2,IW_A0380,,Y,,Y,
Kukri_3,WGS_NovaSeq,WGS_NovaSeq~Kukri_3,IW_A0380,,Y,,Y,
Kukri_4,WGS_NovaSeq,WGS_NovaSeq~Kukri_4,IW_A0380,,Y,,Y,
Kukri_5,WGS_NovaSeq,WGS_NovaSeq~Kukri_5,IW_A0380,,Y,,Y,
GES17_SBS_SB038_1,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB038_1,IW_S18782_C,,Y,Y,,
GES17_SBS_SB038_2,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB038_2,IW_S18782_C,,Y,Y,,
GES17_SBS_SB053_1,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB053_1,IW_S18817_C,,Y,Y,,
GES17_SBS_SB053_2,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB053_2,IW_S18817_C,,Y,Y,,
GES17_SBS_SB115_1,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB115_1,IW_S18775_C,,Y,Y,,
GES17_SBS_SB115_2,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB115_2,IW_S18775_C,,Y,Y,,
GES17_SBS_SB174_1,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB174_1,IW_S18679_C,,Y,Y,,
GES17_SBS_SB174_2,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB174_2,IW_S18679_C,,Y,Y,,
GES17_SBS_SB175_1,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB175_1,IW_S18828_C,,Y,Y,,
GES17_SBS_SB175_2,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB175_2,IW_S18828_C,,Y,Y,,
GES17_SBS_SB194_1,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB194_1,IW_S18778_C,,Y,Y,,
GES17_SBS_SB194_2,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB194_2,IW_S18778_C,,Y,Y,,
GES17_SBS_SB195_1,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB195_1,IW_A2993,,Y,Y,,
GES17_SBS_SB195_2,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB195_2,IW_A2993,,Y,Y,,
GES17_SBS_SB195_3,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB195_3,IW_A2993,,Y,Y,,
GES17_SBS_SB195_4,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB195_4,IW_A2993,,Y,Y,,
GES17_SBS_SB195_5,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB195_5,IW_A2993,,Y,Y,,
GES17_SBS_SB195_6,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB195_6,IW_A2993,,Y,Y,,
GES17_SBS_SB195_7,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB195_7,IW_A2993,,Y,Y,,
GES17_SBS_SB195_8,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB195_8,IW_A2993,,Y,Y,,
GES17_SBS_SB195_9,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB195_9,IW_A2993,,Y,Y,,
GES17_SBS_SB196_1,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB196_1,IW_A2994,,Y,Y,,
GES17_SBS_SB196_2,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB196_2,IW_A2994,,Y,Y,,
GES17_SBS_SB196_3,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB196_3,IW_A2994,,Y,Y,,
GES17_SBS_SB196_4,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB196_4,IW_A2994,,Y,Y,,
GES17_SBS_SB196_5,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB196_5,IW_A2994,,Y,Y,,
GES17_SBS_SB196_6,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB196_6,IW_A2994,,Y,Y,,
GES17_SBS_SB196_7,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB196_7,IW_A2994,,Y,Y,,
GES17_SBS_SB196_8,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB196_8,IW_A2994,,Y,Y,,
GES17_SBS_SB196_9,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB196_9,IW_A2994,,Y,Y,,
