library,run,run.lib,sample,seq.notes,Sequenced,SBS,ExK,AUST
GES17_SBS_SB014,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB014,IW_S18796,,Y,Y,,
GES17_SBS_SB016,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB016,IW_S18708,,Y,Y,,
GES17_SBS_SB017,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB017,IW_S18733,,Y,Y,,
GES17_SBS_SB018,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB018,IW_S18763,,Y,Y,,
GES17_SBS_SB019,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB019,IW_S18684,,Y,Y,,
GES17_SBS_SB020,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB020,IW_S18711,,Y,Y,,
GES17_SBS_SB021,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB021,IW_S18704,,Y,Y,,
GES17_SBS_SB022,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB022,IW_S18702,,Y,Y,,
GES17_SBS_SB023,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB023,IW_S18765,,Y,Y,,
GES17_SBS_SB024,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB024,IW_S18750,,Y,Y,,
GES17_SBS_SB025,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB025,IW_S18753,,Y,Y,,
GES17_SBS_SB026,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB026,IW_S18768,,Y,Y,,
GES17_SBS_SB027,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB027,IW_S18760,,Y,Y,,
GES17_SBS_SB028,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB028,IW_S18820,,Y,Y,,
GES17_SBS_SB029,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB029,IW_S18707,,Y,Y,,
GES17_SBS_SB030,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB030,IW_S18790,,Y,Y,,
GES17_SBS_SB031,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB031,IW_S18671,,Y,Y,,
GES17_SBS_SB032,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB032,IW_S18701,,Y,Y,,
GES17_SBS_SB033,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB033,IW_S18699,,Y,Y,,
GES17_SBS_SB034,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB034,IW_S18716,,Y,Y,,
GES17_SBS_SB035,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB035,IW_S18758,,Y,Y,,
GES17_SBS_SB036,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB036,IW_S18803,,Y,Y,,
GES17_SBS_SB038_1,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB038_1,IW_S18782_1,,Y,Y,,
GES17_SBS_SB038_2,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB038_2,IW_S18782_2,,Y,Y,,
GES17_SBS_SB039,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB039,IW_S18747,,Y,Y,,
GES17_SBS_SB040,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB040,IW_S18730,,Y,Y,,
GES17_SBS_SB041,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB041,IW_S18818,,Y,Y,,
GES17_SBS_SB043,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB043,IW_S18793,,Y,Y,,
GES17_SBS_SB044,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB044,IW_S18705,,Y,Y,,
GES17_SBS_SB045,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB045,IW_S18731,,Y,Y,,
GES17_SBS_SB046,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB046,IW_S18816,,Y,Y,,
GES17_SBS_SB047,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB047,IW_S18668,,Y,Y,,
GES17_SBS_SB048,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB048,IW_S18808,,Y,Y,,
GES17_SBS_SB049,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB049,IW_S18670,,Y,Y,,
GES17_SBS_SB050,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB050,IW_S18689,,Y,Y,,
GES17_SBS_SB051,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB051,IW_S18745,,Y,Y,,
GES17_SBS_SB052,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB052,IW_S18739,,Y,Y,,
GES17_SBS_SB053_1,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB053_1,IW_S18817_1,,Y,Y,,
GES17_SBS_SB053_2,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB053_2,IW_S18817_2,,Y,Y,,
GES17_SBS_SB054,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB054,IW_S18794,,Y,Y,,
GES17_SBS_SB055,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB055,IW_S18771,,Y,Y,,
GES17_SBS_SB057,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB057,IW_S18822,,Y,Y,,
GES17_SBS_SB058,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB058,IW_S18729,,Y,Y,,
GES17_SBS_SB061,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB061,IW_S18836,,Y,Y,,
GES17_SBS_SB062,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB062,IW_S18840,,Y,Y,,
GES17_SBS_SB063,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB063,IW_S18801,,Y,Y,,
